ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
Wannemacher-2011-736-463	463	cow	1007	COW	
Wannemacher-2011-736-464	464	very slow			
Wannemacher-2011-736-465	465	slow	701	SLOW	
Wannemacher-2011-736-466	466	whistle (v)	1025	WHISTLE	
Wannemacher-2011-736-467	467	lazy	1564	LAZY	
Wannemacher-2011-736-468	468	comfort			
Wannemacher-2011-736-469	469	wrestle			
Wannemacher-2011-736-470	470	angry	1826	ANGRY	
Wannemacher-2011-736-471	471	heart	1223	HEART	
Wannemacher-2011-736-472	472	3rd per sing poss	2092	HIS OR HER	
Wannemacher-2011-736-473	473	3rd per sing poss accus			
Wannemacher-2011-736-474	474	cut (hair)	2155	CUT (WITH SCISSORS)	
Wannemacher-2011-736-475	475	3rd per sing	262	HE OR SHE OR IT	
Wannemacher-2011-736-476	476	3rd per pl	817	THEY	
