ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN
596	619	verb	- o i ⁵⁵	to buy	Achang_Longchuan	buy v.	1516.28	Achang (Longchuan) TBL	oi⁵⁵  | 1516.28	buy		133	TBL		1869	oi⁵⁵	oi⁵⁵	buy	o i ⁵⁵	420213
598	619	verb	v u i ⁵¹	to buy	Atsi	buy v.	1516.30	Atsi [Zaiwa] TBL	vui⁵¹  | 1516.30	buy		133	TBL		1869	vui⁵¹	vui⁵¹	buy	v u i ⁵¹	420215
599	619	verb	v ɛ - ⁵⁵	to buy	Bola	buy v.	1516.32	Bola (Luxi) TBL	vɛ⁵⁵  | 1516.32	buy		133	TBL		1869	vɛ⁵⁵	vɛ⁵⁵	buy	v ɛ ⁵⁵	420217
602	619	verb	ɣ əː - ³¹	to buy	Lashi	buy v.	1516.33	Leqi (Luxi) TBL	ɣəː³¹  | 1516.33	buy		133	TBL		1869	ɣəː³¹	ɣəː³¹	buy	ɣ əː ³¹	420218
603	619	verb	v a i ³¹	to buy	Maru	buy v.	1516.31	Langsu (Luxi) TBL	vai³¹  | 1516.31			133	TBL		1869	vai³¹	vai³¹	buy	v a i ³¹	420216
604	619	verb	- u i ⁵⁵	to buy	Xiandao	buy v.	1516.29	Achang (Xiandao) TBL	ui⁵⁵  | 1516.29	buy		133	TBL		1869	ui⁵⁵	ui⁵⁵	buy	u i ⁵⁵	420214
627	162	noun	ts ă ³¹ + o i ³¹	the child (young human)	Achang_Longchuan	child 2	0169.28	Achang (Longchuan) TBL	tsă³¹ oi³¹  | 0169.28	son ?		137 138	TBL		1304	tsă³¹oi³¹	tsă³¹oi³¹	child	ts ă ³¹ + o i ³¹	353706
629	162	noun	ts ŏ ²¹ + ʃ a ŋ ⁵¹	the child (young human)	Atsi	child 2	0169.30	Atsi [Zaiwa] TBL	tsŏ²¹ ʃaŋ⁵¹  | 0169.30	son ?		137 139	TBL		1304	tsŏ²¹ʃaŋ⁵¹	tsŏ²¹ʃaŋ⁵¹	child	ts ŏ ²¹ + ʃ a ŋ ⁵¹	353708
630	162	noun	t ă ³¹ + ʃ ɔ̃ ∼ ⁵⁵	the child (young human)	Bola	child 2	0169.32	Bola (Luxi) TBL	tă³¹ ʃɔ̃⁵⁵  | 0169.32	child 		137 139	TBL		1304	tă³¹ʃɔ̃⁵⁵	tă³¹ʃɔ̃⁵⁵	child	t ă ³¹ + ʃ ɔ̃ ∼ ⁵⁵	353710
633	162	noun	ts ɔ̆ ³⁵ + ʃ ɔ̃ ∼ ³¹	the child (young human)	Maru	child 2	0169.31	Langsu (Luxi) TBL	tsɔ̆³⁵ ʃɔ̃³¹  | 0169.31	child1 child2		137 139	TBL		1304	tsɔ̆³⁵ʃɔ̃³¹	tsɔ̆³⁵ʃɔ̃³¹	child	ts ɔ̆ ³⁵ + ʃ ɔ̃ ∼ ³¹	353709
634	162	noun	ts ɔ ³¹ + u i ³¹	the child (young human)	Xiandao	child 2	0169.29	Achang (Xiandao) TBL	tsɔ³¹ ui³¹  | 0169.29	child ???		137 138	TBL		1304	tsɔ³¹ui³¹	tsɔ³¹ui³¹	child	ts ɔ ³¹ + u i ³¹	353707
660	222	noun	x a n ³¹ + tɕ i n ³¹	the cloud	Achang_Longchuan	cloud n	0007.28	Achang (Longchuan) TBL	xan³¹ tɕin³¹  | 0007.28	weather? cloud?		150 151	TBL		1489	xan³¹tɕin³¹	xan³¹tɕin³¹	cloud	x a n ³¹ + tɕ i n ³¹	345328
663	1141	noun	m ṵ t ⁵⁵ + m a u ⁵⁵	the cloud	Atsi	cloud n	0007.30	Atsi [Zaiwa] TBL	mu̱t⁵⁵ mau⁵⁵  | 0007.30	cloud sky		1029 592	TBL		1489	mu̱t⁵⁵mau⁵⁵	mu̱t⁵⁵mau⁵⁵	cloud	m ṵ t ⁵⁵ + m a u ⁵⁵	345330
664	166	noun	tʃ a̰ m ⁵⁵	the cloud	Bola	cloud n	0007.32	Bola (Luxi) TBL	tʃa̱m⁵⁵  | 0007.32	cloud		148	TBL		1489	tʃa̱m⁵⁵	tʃa̱m⁵⁵	cloud	tʃ a̰ m ⁵⁵	345332
666	166	noun	ts ɔ̰ m ⁵⁵ + m o u ⁵⁵	the cloud	Lashi	cloud n	0007.33	Leqi (Luxi) TBL	tsɔ̱m⁵⁵ mou⁵⁵  | 0007.33	cloud? sky		148 592	TBL		1489	tsɔ̱m⁵⁵mou⁵⁵	tsɔ̱m⁵⁵mou⁵⁵	cloud	ts ɔ̰ m ⁵⁵ + m o u ⁵⁵	345333
667	166	noun	tʃ a̰ m ³¹ + tʰ ɔ i ³⁵	the cloud	Maru	cloud n	0007.31	Langsu (Luxi) TBL	tʃa̱m³¹ thɔi³⁵  | 0007.31	cloudfog1 cloudfog2		148 1030	TBL		1489	tʃa̱m³¹thɔi³⁵	tʃa̱m³¹thɔi³⁵	cloud	tʃ a̰ m ³¹ + tʰ ɔ i ³⁵	345331
668	222	noun	ç a ŋ ⁵⁵ + c i n ³¹	the cloud	Xiandao	cloud n	0007.29	Achang (Xiandao) TBL	çaŋ⁵⁵ cin³¹  | 0007.29	fog-cloud-1 fog-cloud-2		150 151	TBL		1489	çaŋ⁵⁵cin³¹	çaŋ⁵⁵cin³¹	cloud	ç a ŋ ⁵⁵ + c i n ³¹	345329
