ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	INFERRED	PROTO	COGNATES
155	n	Ø	ŏ	ă	o	ɔ̆	Ø	Ø	ɔ	1	ŏ		34
156	n	i	i	a	i	a	a	ɛ	i	1	*i		365
157	n	i	i	i	e	a	i	e	Ø	1	i		533
158	n	i	ŏ	ə̆	ə̆	ə̆	a	ɑ	a	1	ə̆		227
159	n	Ø	o̰	ɛ̃	ə̰ː	ɛ̰̃	Ø	Ø	Ø	1	o̰		778
160	n	a	a	ɛ̰	a̰ː	ɛ̰	a	ɑ	a	1	a		166
161	n	Ø	Ø	ɛ̃	ə̰	ɛ̃	Ø	ĩ	Ø	1	ɛ̃		466
162	n	Ø	o	ə̆	ɔː	ɔ	Ø	Ø	Ø	1	o		458
163	n	ə	i	a	əː	a	a	e	ɯ	1	a		307
164	n	a	a	ɛ̃	a̰	ɛ̃	Ø	Ø	Ø	1	a		775
165	n	i	i	ɿ	e	i	Ø	ɑ̃	i	1	i		2
166	n	i	Ø	ɛ̰	Ø	ɛ̰	Ø	Ø	ɛ	1	*ɛ̰		168
167	n	i	ṵ	a̰	ɔ̰	a̰	i	ẽ	i	1	i		427
168	n	i	a̰	ṵ	ḛ	a̰	i	e	a	1	i		490
169	n	Ø	u	ə̆	ə̆	ɔ̆	u	õ	Ø	1	u		225
170	n	Ø	a̰	ɔ̰̃	aː	ɔ̃	Ø	Ø	Ø	1	a̰		65
171	n	e	i	ɔ	ɛ	i	Ø	ɑ̃	ɛ	1	i		433
172	n	o	ṵ	ɔ̰	a̰	a̰	u	o	u	1	o		551
173	n	Ø	o	Ø	o	o	a	ɑ	ɔ	1	*a		481
174	n	Ø	ṵ	a̰	ɔ̰	Ø	Ø	õ	Ø	1	ṵ		216
175	n	a	a	ɛ̰	a̰	ɛ̰	a	ɑ	a	1	*a̰		100
176	n	ɔ	ŏ̰	a̰	ɑ̰	ɔ̰	a	a	ă	1	a		243
177	n	o	u	a	u	a	ʊ	ɑ	u	1	u		403
178	n	Ø	Ø	a	uː	a	ʊ	ɑ	Ø	1	a		207
179	n	Ø	u	ɔ̰	ɔ̰	a̰	u	Ø	ɔ	1	u		196
180	n	ə	o̰	ɔ̰	iː	ə	i	i	ɯ	1	ə		78
181	n	ɔ	a	ă	ŏ	ɔ̆	Ø	ɑ	ɔ	1	ɔ		156
182	n	Ø	Ø	ă	ŏ	ŏ	Ø	Ø	Ø	1	ŏ		109
183	n	e	ṵ	a̰	ṵː	a	i	e	i	1	e		370
184	n	u	u	ø	u	ɔ	u	e	u	1	u		301
185	n	i	u	a	u	a	Ø	ɑ	u	1	u		318
186	n	ɔ	o	a	ə̆	o	a	ɑ	ɔ	1	ɔ		324
187	n	i	i	i	ḭ	i	i	e	i	1	i		404
188	n	Ø	o̰	Ø	Ø	ɔ	ʊ	u	Ø	1	o̰		643
189	n	a	o	a	ɔː	ɔ	a	ɑ	ɔ	1	*a		299
190	n	a	a	i	o	u	ə	o	a	1	a		343
1	N	-	-	u	-	u	-	u	-	12	-		203, 483, 833, 403, 499, 197, 282, 654, 213, 534, 207, 318
2	N	u	u	u	u	-	-	-	u	12	u		561, 226, 503, 417, 380, 513, 446, 397, 557, 269, 638, 122
