ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
1705	Maru	Nishi Langsu/Maru	be broken	326	kjøɂ³¹	kj øɂ ³¹	k j ø ʔ ³¹	i m n c t	325
1706	Xiandao	Nishi Xiandao	be broken	326	kʐop⁵⁵	kʐ op ⁵⁵	kʐ o p ⁵⁵	i n c t	325
1707	Lashi	Nishi Leqi/Lashi	be broken	326	kju:p³¹	kj u:p ³¹	k j u: p ³¹	i m n c t	325
1708	Bola	Nishi Bola	be broken	326	kjøɂ³¹	kj øɂ ³¹	k j ø ʔ ³¹	i m n c t	325
1709	Achang	Nishi Achang	be broken	326	kʐop⁵⁵	kʐ op ⁵⁵	kʐ o p ⁵⁵	i n c t	325
1272	Xiandao	Nishi Xiandao	be cloudy	239	tau³¹	t au ³¹	t a u ³¹	i n nn t	239
1273	Lashi	Nishi Leqi/Lashi	be cloudy	239	tsa:u⁵⁵	ts a:u ⁵⁵	ts a: u ⁵⁵	i n nn t	239
1274	Achang	Nishi Achang	be cloudy	239	tʂau³⁵	tʂ au ³⁵	ʈʂ a u ³⁵	i n nn t	239
1275	Atsi	Nishi Zaiwa/Atsi	be cloudy	239	tsau⁵⁵	ts au ⁵⁵	ts a u ⁵⁵	i n nn t	239
1689	Maru	Nishi Langsu/Maru	be cooked	323	ŋjɔɂ³¹	ŋj ɔɂ ³¹	ŋ j ɔ ʔ ³¹	i m n c t	322
1690	Xiandao	Nishi Xiandao	be cooked	323	tʂoɂ⁵⁵	tʂ oɂ ⁵⁵	ʈʂ o ʔ ⁵⁵	i n c t	322
1691	Lashi	Nishi Leqi/Lashi	be cooked	323	ŋjɔ:ɂ³¹	ŋj ɔ:ɂ ³¹	ŋ j ɔ: ʔ ³¹	i m n c t	322
1692	Bola	Nishi Bola	be cooked	323	ŋjaɂ³¹	ŋj aɂ ³¹	ŋ j a ʔ ³¹	i m n c t	322
1693	Achang	Nishi Achang	be cooked	323	tʂuaɂ⁵⁵	tʂu aɂ ⁵⁵	ʈʂ u a ʔ ⁵⁵	i m n c t	322
1694	Atsi	Nishi Zaiwa/Atsi	be cooked	323	ŋjoɂ²¹	ŋj oɂ ²¹	ŋ j o ʔ ²¹	i m n c t	322
1802	Maru	Nishi Langsu/Maru	be drunk	348	jik³¹	j ik ³¹	j i k ³¹	m n c t	346
1803	Xiandao	Nishi Xiandao	be drunk	348	ɛt⁵⁵	ɛt ⁵⁵	ɛ t ⁵⁵	n c t	346
1804	Lashi	Nishi Leqi/Lashi	be drunk	348	ji:t³¹	j i:t ³¹	j i: t ³¹	m n c t	346
1805	Bola	Nishi Bola	be drunk	348	jɔt³¹	j ɔt ³¹	j ɔ t ³¹	m n c t	346
1806	Achang	Nishi Achang	be drunk	348	et⁵⁵	et ⁵⁵	e t ⁵⁵	n c t	346
1205	Maru	Nishi Langsu/Maru	be dry	226	fai⁵⁵	f ai ⁵⁵	f a i ⁵⁵	i n nn t	226
1206	Lashi	Nishi Leqi/Lashi	be dry	226	xə:⁵³	x ə: ⁵³	x ə: ⁵³	i n t	226
1207	Bola	Nishi Bola	be dry	226	fe³⁵	f e ³⁵	f e ³⁵	i n t	226
1208	Achang	Nishi Achang	be dry	226	səɂ³⁵	s əɂ ³⁵	s ə ʔ ³⁵	i n c t	226
1209	Atsi	Nishi Zaiwa/Atsi	be dry	226	xui⁵⁵	xu i ⁵⁵	x u i ⁵⁵	i m n t	226
1165	Maru	Nishi Langsu/Maru	be full/filled up	218	pjaŋ⁵⁵	pj aŋ ⁵⁵	p j a ŋ ⁵⁵	i m n c t	218
1166	Xiandao	Nishi Xiandao	be full/filled up	218	pɤŋ³⁵	p ɤŋ ³⁵	p ɤ ŋ ³⁵	i n c t	218
1167	Lashi	Nishi Leqi/Lashi	be full/filled up	218	pjə:ŋ⁵⁵	pj ə:ŋ ⁵⁵	p j ə: ŋ ⁵⁵	i m n c t	218
1168	Bola	Nishi Bola	be full/filled up	218	pjaŋ³⁵	pj aŋ ³⁵	p j a ŋ ³⁵	i m n c t	218
1169	Achang	Nishi Achang	be full/filled up	218	pʐəŋ³⁵	pʐ əŋ ³⁵	pʐ ə ŋ ³⁵	i n c t	218
1170	Atsi	Nishi Zaiwa/Atsi	be full/filled up	218	pjiŋ⁵⁵	pj iŋ ⁵⁵	p j i ŋ ⁵⁵	i m n c t	218
943	Maru	Nishi Langsu/Maru	be old	176	mɔ̃³⁵	m ɔ̃ ³⁵	m ɔ̃ ∼ ³⁵	i n c t	176
944	Xiandao	Nishi Xiandao	be old	176	mɔŋ³¹	m ɔŋ ³¹	m ɔ ŋ ³¹	i n c t	176
945	Lashi	Nishi Leqi/Lashi	be old	176	maŋ³³	m aŋ ³³	m a ŋ ³³	i n c t	176
946	Bola	Nishi Bola	be old	176	mɔ̃³¹	m ɔ̃ ³¹	m ɔ̃ ∼ ³¹	i n c t	176
947	Achang	Nishi Achang	be old	176	muaŋ³¹	mu aŋ ³¹	m u a ŋ ³¹	i m n c t	176
948	Atsi	Nishi Zaiwa/Atsi	be old	176	mjaŋ²¹	mj aŋ ²¹	m j a ŋ ²¹	i m n c t	176
197	Maru	Nishi Langsu/Maru	be, have	38	po³¹	p o ³¹	p o ³¹	i n t	38
198	Xiandao	Nishi Xiandao	be, have	38	pɔ³¹	p ɔ ³¹	p ɔ ³¹	i n t	38
199	Lashi	Nishi Leqi/Lashi	be, have	38	pɔ:³¹	p ɔ: ³¹	p ɔ: ³¹	i n t	38
200	Bola	Nishi Bola	be, have	38	pa⁵⁵	p a ⁵⁵	p a ⁵⁵	i n t	38
201	Achang	Nishi Achang	be, have	38	pɔ⁵⁵	p ɔ ⁵⁵	p ɔ ⁵⁵	i n t	38
202	Atsi	Nishi Zaiwa/Atsi	be, have	38	po⁵¹	p o ⁵¹	p o ⁵¹	i n t	38
306	Maru	Nishi Langsu/Maru	be, live	58	na³¹	n a ³¹	n a ³¹	i n t	58
307	Xiandao	Nishi Xiandao	be, live	58	nai⁵⁵	n ai ⁵⁵	n a i ⁵⁵	i n nn t	58
308	Lashi	Nishi Leqi/Lashi	be, live	58	ŋje:³¹	ŋj e: ³¹	ŋ j e: ³¹	i m n t	58
309	Bola	Nishi Bola	be, live	58	ŋji⁵⁵	ŋj i ⁵⁵	ŋ j i ⁵⁵	i m n t	58
310	Achang	Nishi Achang	be, live	58	ni⁵⁵	n i ⁵⁵	n i ⁵⁵	i n t	58
311	Atsi	Nishi Zaiwa/Atsi	be, live	58	ŋji⁵¹	ŋj i ⁵¹	ŋ j i ⁵¹	i m n t	58
430	Maru	Nishi Langsu/Maru	bear n.	81	vɛ̃³¹	v ɛ̃ ³¹	v ɛ̃ ∼ ³¹	i n c t	81
431	Xiandao	Nishi Xiandao	bear n.	81	om⁵⁵	om ⁵⁵	o m ⁵⁵	n c t	81
432	Lashi	Nishi Leqi/Lashi	bear n.	81	wɔm³¹	w ɔm ³¹	w ɔ m ³¹	m n c t	81
433	Bola	Nishi Bola	bear n.	81	vɛ̃⁵⁵	v ɛ̃ ⁵⁵	v ɛ̃ ∼ ⁵⁵	i n c t	81
434	Achang	Nishi Achang	bear n.	81	ɔm⁵⁵	ɔm ⁵⁵	ɔ m ⁵⁵	n c t	81
435	Atsi	Nishi Zaiwa/Atsi	bear n.	81	vam⁵¹	v am ⁵¹	v a m ⁵¹	i n c t	81
1619	Maru	Nishi Langsu/Maru	beat, strike, hit	308	pɛɂ³¹	p ɛɂ ³¹	p ɛ ʔ ³¹	i n c t	307
1620	Xiandao	Nishi Xiandao	beat, strike, hit	308	pat⁵⁵	p at ⁵⁵	p a t ⁵⁵	i n c t	307
1621	Lashi	Nishi Leqi/Lashi	beat, strike, hit	308	pa:t³¹	p a:t ³¹	p a: t ³¹	i n c t	307
1622	Bola	Nishi Bola	beat, strike, hit	308	pɛɂ³¹	p ɛɂ ³¹	p ɛ ʔ ³¹	i n c t	307
1623	Achang	Nishi Achang	beat, strike, hit	308	pat⁵⁵	p at ⁵⁵	p a t ⁵⁵	i n c t	307
1624	Atsi	Nishi Zaiwa/Atsi	beat, strike, hit	308	pat²¹	p at ²¹	p a t ²¹	i n c t	307
1276	Maru	Nishi Langsu/Maru	bend; turn	240	kɔ̣̣⁵⁵	k ɔ̣̣ ⁵⁵	k ɔ̰ ⁵⁵	i n t	240
1277	Xiandao	Nishi Xiandao	bend; turn	240	xoi³⁵	x oi ³⁵	x o i ³⁵	i n nn t	240
1278	Lashi	Nishi Leqi/Lashi	bend; turn	240	kɔi⁵⁵	k ɔi ⁵⁵	k ɔ i ⁵⁵	i n nn t	240
1279	Bola	Nishi Bola	bend; turn	240	kụi³⁵	k ụi ³⁵	k ṵ i ³⁵	i n nn t	240
1280	Atsi	Nishi Zaiwa/Atsi	bend; turn	240	kọi⁵⁵	k ọi ⁵⁵	k ọi ⁵⁵	i n t	240
883	Maru	Nishi Langsu/Maru	big	165	ɣə³⁵	ɣ ə ³⁵	ɣ ə ³⁵	i n t	165
884	Xiandao	Nishi Xiandao	big	165	kɯ³¹	k ɯ ³¹	k ɯ ³¹	i n t	165
