Button_number	Mann_number	Nishi_Number	Mann_meaning	Achang	Zaiwa	Lashi	Maru	Bela	Phon
	217a		gong	maŋ⁵		maŋ³⁴	ma³⁴³		mɔŋ³¹
39	218a	193	crossbow	djei³	lai³	le³	la³		
	219a		arrow	njɔ̃³	mjɔ³¹	mjɔ̃³	mi³		mja³¹
	220a		spear	lạm³	lạm⁵³	læ̣m³	le³²		lɛ⁵⁵
	221a		knife	ʃam³	ʃam⁵³	ʃæm³	ʃjɛ³	ʃʰị²³	
	222a		hear	hjæu⁵	wɔ⁴	ʃau⁵		kjạ⁵²	
	222b	170	hear	gjɔ⁴¹	gjɔ⁵³	gjɔ³¹	gjo⁵	kja	
	223a		smell	nam³¹	hɔm⁵³	næm³¹	nje³		nɛ⁵⁵
	224a	53	see	njaŋ³¹	mjaŋ³¹	mjaŋ³¹	mja⁴	mjạŋ⁵²	mjo⁵⁵
	225a		wink	njɔɂ⁴³	mjɔɂ³	mjɔɂ³	mjɔɂ³²		
	225b		wink		lʊp³		lap³²		
	226a	65	weep	ŋau³¹	ŋau³²	ŋau³¹	ŋoɂ³²		ŋu⁵⁵
	227a	162	eat	dzɔ³	dzɔ⁵³	dzɔ³	dzo⁴	ta⁵²	sa³¹
	228a	54	swallow	njæ̣ụ³	mjui³²	mjau⁵³	mjuɂ³	mjụŋ³	
	229a		hungry	juat⁴²		joiɂ²	vʷe³⁴		
	229b	332	hungry		mʊt³²		mọ̈ɂ⁵⁴		mjeɂ³¹
